name,area_name,published_at,salary
Программист,Москва,2005-11-07T13:26:32+0300,35726.25
Тестировщик ПО,Москва,2005-11-07T14:42:18+0300,24293.85
Системный инженер (OS-1319-SHL-SA),Москва,2005-11-07T14:53:33+0300,71452.5
Программист,Москва,2005-11-07T15:44:44+0300,22864.8
GSM application support specialist with Mars Inc.,Москва,2005-12-07T12:00:30+0300,33858.799999999996
Программист-постановщик,Москва,2005-11-07T16:06:13+0300,42871.5
Директор по развитию SAP в компанию - системный интегратор,Москва,2005-11-07T16:44:17+0300,107178.75
Оператор разметки,Москва,2005-11-28T11:23:44+0300,19292.175
Руководитель проекта,Москва,2005-11-07T16:53:29+0300,97175.4
Системный администратор,Москва,2005-11-07T16:57:52+0300,21435.75
Программист .Net,Москва,2005-11-07T17:01:07+0300,42871.5
Программист 1С 8.0,Москва,2005-11-07T17:35:37+0300,25722.899999999998
JUNIOR SOFTWARE DEVELOPER,Москва,2005-12-05T11:00:38+0300,36020.0
Программист VB/Delphi/C#,Москва,2005-11-07T17:50:37+0300,25722.899999999998
Руководитель IT Department,Москва,2005-11-07T18:00:21+0300,78597.75
Менеджер по работе с партнерами,Москва,2005-11-07T18:02:00+0300,22864.8
Оператор HelpDesk,Москва,2005-11-16T10:06:53+0300,10003.35
Программист 1С,Москва,2005-11-07T18:43:59+0300,47158.65
Unix tester,Москва,2005-11-07T20:58:31+0300,22864.8
Системный инженер,Москва,2005-11-08T10:19:39+0300,41442.45
Менеджер по продажам,Москва,2005-12-05T12:25:35+0300,33138.4
Ведущий программист,Москва,2005-11-08T10:49:15+0300,42871.5
